,rank,name,code,nowPrice,totalPrice,volume
417,418,한솔테크닉스,004710,"7,280","2,338","276,134"
418,419,신대양제지,016590,"57,900","2,333","11,828"
419,420,신세계푸드,031440,"60,200","2,331","35,750"
420,421,아세아시멘트,183190,"59,500","2,318","31,653"
421,422,KOSEF 국고채10년,148070,"127,130","2,314","13,389"
422,423,이연제약,102460,"13,750","2,306","34,248"
423,424,신세계 I&C,035510,"134,000","2,305","40,369"
424,425,신한 인버스 2X 천연가스 선물 ETN(H),500032,"11,500","2,300","114,763"
425,426,넥센,005720,"4,290","2,297","795,734"
426,427,효성ITX,094280,"19,850","2,294","119,951"
427,428,해태제과식품,101530,"7,870","2,291","22,415"
428,429,국도화학,007690,"39,350","2,286","4,058"
429,430,IHQ,003560,"1,555","2,274","1,282,078"
430,431,광주신세계,037710,"142,000","2,272",173
431,432,한국화장품,123690,"14,050","2,258","309,069"
432,433,하나 코스피 변동성추세 추종 양매도 ETN,700001,"9,020","2,255",0
433,434,샘표식품,248170,"49,350","2,254","727,416"
434,435,대한제분,001130,"133,000","2,248","1,712"
435,436,용평리조트,070960,"4,660","2,243","95,011"
436,437,코스모화학,005420,"8,530","2,227","326,874"
437,438,애경유화,161000,"6,940","2,224","52,514"
438,439,일성신약,003120,"83,400","2,218","3,889"
439,440,코오롱,002020,"17,400","2,197","156,120"
440,441,TIGER 미국나스닥100,133690,"52,240","2,194","64,491"
441,442,대신증권우,003545,"8,340","2,168","63,833"
442,443,동부건설,005960,"9,910","2,168","65,801"
443,444,한국주철관,000970,"9,500","2,166","121,001"
444,445,풍산홀딩스,005810,"27,550","2,159","2,311"
445,446,남양유업,003920,"299,500","2,156","6,815"
446,447,LS전선아시아,229640,"6,990","2,141","96,137"
447,448,코리아써키트,007810,"9,020","2,131","144,182"
448,449,신성이엔지,011930,"1,225","2,128","10,706,061"
449,450,KISCO홀딩스,001940,"11,450","2,116","6,058"
450,451,삼성출판사,068290,"20,950","2,095","105,317"
451,452,예스코홀딩스,015360,"34,550","2,073","1,131"
452,453,넥스트사이언스,003580,"6,520","2,068","335,975"
453,454,한세예스24홀딩스,016450,"5,170","2,068","28,023"
454,455,TIGER 차이나CSI300레버리지(합성),204480,"18,140","2,032","60,930"
455,456,한국철강,104700,"4,400","2,026","30,341"
456,457,이엔플러스,074610,"5,440","2,025","347,333"
457,458,에어부산,298690,"3,855","2,007","546,010"
458,459,세방,004360,"10,350","1,998","8,472"
459,460,샘표,007540,"69,100","1,987","535,640"
460,461,일진홀딩스,015860,"4,025","1,986","174,572"
461,462,부국증권,001270,"19,150","1,986","1,415"
462,463,TIGER 차이나CSI300,192090,"8,735","1,974","224,809"
463,464,동아지질,028100,"17,050","1,961","135,261"
464,465,신성통상,005390,"1,360","1,954","10,675,545"
465,466,현대상사,011760,"14,600","1,931","83,873"
466,467,경보제약,214390,"8,040","1,922","25,515"
467,468,한국금융지주우,071055,"32,800","1,922","21,423"
468,469,KINDEX 베트남VN30(합성),245710,"12,520","1,916","51,368"
469,470,ARIRANG 고배당주,161510,"8,805","1,915","83,541"
470,471,대덕,008060,"6,680","1,910","802,173"
471,472,일신석재,007110,"2,460","1,905","1,303,191"
472,473,대원강업,000430,"3,065","1,900","44,726"
473,474,HANARO MSCI Korea TR,332940,"10,785","1,898","1,646"
474,475,QV 코스피 양매도 5% OTM ETN,550056,"9,490","1,898",0
475,476,무림P&P,009580,"3,030","1,890","461,373"
476,477,동성코퍼레이션,102260,"4,285","1,885","28,993"
477,478,KPX홀딩스,092230,"43,900","1,855",498
478,479,세원셀론텍,091090,"3,040","1,854","543,390"
479,480,KG케미칼,001390,"14,200","1,848","127,125"
480,481,대한제강,084010,"7,390","1,821","45,451"
481,482,토니모리,214420,"10,300","1,817","94,120"
482,483,대성홀딩스,016710,"11,250","1,810","8,922"
483,484,KINDEX 200TR,332500,"16,015","1,810","6,166"
484,485,KBSTAR 코스닥150,270810,"10,800","1,804","36,539"
485,486,명문제약,017180,"6,950","1,802","3,939,938"
486,487,S&T중공업,003570,"5,400","1,796","4,787"
487,488,KINDEX 중국본토CSI300,168580,"22,980","1,792","13,264"
